Genuine Balloonicorn | 38 ref
restriction Gold Botkiller Rocket Launcher Mk.II | 44.8499999999999 ref
restriction Gold Botkiller Scattergun Mk.I | 73.7388888888888 ref
restriction Gold Botkiller Scattergun Mk.II | 42.9999999999999 ref
restriction Gold Botkiller Sniper Rifle Mk.I | 69.9999999999999 ref
restriction Gold Botkiller Sniper Rifle Mk.II | 51.9999999999999 ref
restriction Gold Botkiller Stickybomb Launcher Mk.I | 40.2566666666666 ref
restriction Gold Botkiller Wrench Mk.I | 79.9999999999999 ref
restriction Gold Botkiller Wrench Mk.II | 54.9999999999999 ref
restriction Gone Commando | 34.3333333333333 ref
restriction Australium Grenade Launcher | 314.999999999999 ref
restriction Ground Control | 36.6666666666666 ref
restriction Gunslinger | 329.999999999999 ref
Halloween Spell: Bruised Purple Footprints | 91.6666666666665 ref
Halloween Spell: Headless Horseshoes | 220 ref
Halloween Spell: Soldier's Booming Bark | 33.5555555555555 ref
Halloween Spell: Spectral Flame | 42.7777777777777 ref
Halloween Spell: Squash Rockets | 34.4444444444444 ref
restriction Holy Mackerel | 41.5533333333333 ref
restriction Huntsman | 69.6666666666666 ref
restriction Invis Watch | 37.3333333333333 ref
restriction Australium Knife | 357.777777777777 ref
restriction Kritzkrieg | 330.555555555555 ref
restriction Loose Cannon | 52.111111111111 ref
Vintage Lugermorph | 105.886666666667 ref
restriction Machina | 220 ref
Mann Co. Supply Crate Key | 18.6666666666667 ref
restriction Mann of the Seven Sees | 37.3333333333334 ref
Max's Severed Head | 445.111111111112 ref
restriction Australium Medi Gun | 466.666666666667 ref
Genuine Merc's Pride Scarf | 46.6666666666667 ref
restriction Australium Minigun | 392.000000000001 ref
restriction Original | 84.0000000000001 ref
Genuine Point and Shoot | 32 ref
restriction Pyromancer's Hood | 28.6655555555556 ref
restriction Righteous Bison | 55.7777777777779 ref
Non-Craftable restriction Righteous Bison | 96.6666666666668 ref
restriction Australium Rocket Launcher | 896.000000000001 ref
restriction Australium SMG | 166.777777777778 ref
restriction Sangu Sleeves | 43.5555555555556 ref
restriction Australium Scattergun | 634.666666666668 ref
Genuine Sharp Dresser | 56.0000000000001 ref
Genuine Shred Alert | 31.6666666666667 ref
restriction Sight for Sore Eyes | 56.0000000000001 ref
restriction Snack Attack | 56.0000000000001 ref
restriction Australium Sniper Rifle | 619.333333333334 ref
restriction Snow Sleeves | 37.3333333333334 ref
restriction Sole Mate | 37.3333333333334 ref
Spine-Chilling Skull | 41.6666666666667 ref
Non-Craftable Spine-Chilling Skull | 37.3333333333334 ref
restriction Australium Stickybomb Launcher | 292.888888888889 ref
Strange Part: Airborne Enemies Killed | 37.3333333333334 ref
Strange Part: Allied Healing Done | 37.3333333333334 ref
Strange Part: Critical Kills | 62.3333333333334 ref
Strange Part: Damage Dealt | 109.111111111111 ref
Strange Part: Domination Kills | 60.6666666666668 ref
Strange Part: Kills with a Taunt Attack | 37.3333333333334 ref
Strange Part: Projectiles Reflected | 54.4444444444445 ref
Summer Adventure Pack | 33.5555555555556 ref
Taunt: Pool Party | 56.0000000000001 ref
Taunt: The Boston Breakdance | 35.5533333333334 ref
Taunt: The Killer Solo | 32.3333333333334 ref
restriction Texas Ten Gallon | 37.3333333333334 ref
restriction Thermal Tracker | 37.1088888888889 ref
restriction Australium Tomislav | 161.333333333334 ref
Towering Pillar Of Summer Shades | 298.666666666667 ref
restriction Trencher's Tunic | 37.3333333333334 ref
restriction Ullapool Caber | 71.0000000000001 ref
Upgrade to Premium Gift | 41.2200000000001 ref
Non-Craftable Voodoo Juju | 56.0000000000001 ref
What's in the Portal 2 Soundtrack Box? | 49.7777777777779 ref
restriction Australium Wrench | 432.666666666667 ref
A Distinctive Lack of Hue | 41.5133333333334 ref
Non-Craftable A Random Duck Token Gift | 62.2222222222223 ref
restriction AWPer Hand | 236.666666666667 ref
restriction All-Father | 93.3333333333335 ref
restriction Australium Ambassador | 282.666666666667 ref
An Extraordinary Abundance of Tinge | 40.3333333333334 ref
restriction Antarctic Researcher | 56.8866666666668 ref
Genuine Archimedes | 43.3333333333334 ref
restriction Australium Axtinguisher | 148.888888888889 ref
Genuine Balloonicorn | 37.3333333333334 ref
Bill's Hat | 40.2222222222223 ref
restriction Australium Black Box | 338.333333333334 ref
restriction Blood Botkiller Knife Mk.I | 33.7777777777778 ref
restriction Blood Botkiller Medi Gun Mk.I | 35.8888888888889 ref
restriction Blood Botkiller Minigun Mk.I | 28.5555555555556 ref
restriction Blood Botkiller Rocket Launcher Mk.I | 56.0000000000001 ref
restriction Blood Botkiller Scattergun Mk.I | 58.1111111111112 ref
restriction Blood Botkiller Sniper Rifle Mk.I | 56.0000000000001 ref
restriction Blood Botkiller Wrench Mk.I | 34.7777777777778 ref
restriction Australium Blutsauger | 186.666666666667 ref
restriction Bonk Boy | 74.6666666666668 ref
Genuine Buck Turner All-Stars | 37.1111111111112 ref
restriction Cold Snap Coat | 91.888888888889 ref
restriction Construction PDA | 148.111111111111 ref
restriction Diamond Botkiller Rocket Launcher Mk.I | 43.6666666666667 ref
restriction Diamond Botkiller Scattergun Mk.I | 37.3333333333334 ref
restriction Diamond Botkiller Wrench Mk.I | 32.6666666666667 ref
restriction Disciplinary Action | 31.2222222222223 ref
Dr. Grordbort's Silver Crest | 31.8133333333334 ref
Earbuds | 56.0000000000001 ref
Genuine El Jefe | 36.5555555555556 ref
restriction Australium Eyelander | 653.333333333335 ref
restriction Festive Ambassador | 73.6666666666667 ref
restriction Festive Bat | 186.666666666667 ref
restriction Festive Black Box | 43.0000000000001 ref
restriction Festive Buff Banner | 37.3333333333334 ref
restriction Festive Eyelander | 40.6666666666667 ref
restriction Festive Flame Thrower | 108 ref
restriction Festive Grenade Launcher | 74.6666666666668 ref
restriction Festive Holy Mackerel | 38.0000000000001 ref
restriction Festive Huntsman | 110.11 ref
restriction Festive Knife | 186.666666666667 ref
restriction Festive Medi Gun | 448.000000000001 ref
restriction Festive Minigun | 185.444444444445 ref
restriction Festive Rocket Launcher | 342.222222222223 ref
restriction Festive Sandvich | 74.4422222222223 ref
restriction Festive Scattergun | 373.333333333334 ref
restriction Festive Shotgun | 55.7777777777779 ref
restriction Festive Stickybomb Launcher | 146.444444444445 ref
restriction Festive Ubersaw | 61.3333333333334 ref
restriction Festive Wrench | 233.222222222223 ref
Fireproof Secret Diary | 280.000000000001 ref
restriction Australium Flame Thrower | 278.777777777778 ref
restriction Australium Force-A-Nature | 255.333333333334 ref
restriction Australium Frontier Justice | 205.333333333334 ref
restriction Frying Pan | 129.777777777778 ref
restriction Gold Botkiller Knife Mk.I | 36.7777777777778 ref
restriction Gold Botkiller Knife Mk.II | 32.2222222222222 ref
restriction Gold Botkiller Medi Gun Mk.II | 37.3333333333334 ref
restriction Gold Botkiller Minigun Mk.I | 40.3333333333334 ref
restriction Gold Botkiller Rocket Launcher Mk.I | 74.6666666666668 ref
restriction Gold Botkiller Rocket Launcher Mk.II | 45.5166666666667 ref
restriction Gold Botkiller Scattergun Mk.I | 74.9611111111112 ref
restriction Gold Botkiller Scattergun Mk.II | 43.6666666666667 ref
restriction Gold Botkiller Sniper Rifle Mk.I | 71.0000000000001 ref
restriction Gold Botkiller Sniper Rifle Mk.II | 52.6666666666667 ref
restriction Gold Botkiller Stickybomb Launcher Mk.I | 40.9233333333334 ref
restriction Gold Botkiller Wrench Mk.I | 81.3333333333335 ref
restriction Gold Botkiller Wrench Mk.II | 56.0000000000001 ref
restriction Gone Commando | 34.6666666666667 ref
restriction Australium Grenade Launcher | 320.666666666667 ref
restriction Ground Control | 37.3333333333334 ref
restriction Gunslinger | 336.000000000001 ref
Halloween Spell: Bruised Purple Footprints | 93.3333333333335 ref
Halloween Spell: Headless Horseshoes | 224 ref
Halloween Spell: Soldier's Booming Bark | 34.1111111111112 ref
Halloween Spell: Spectral Flame | 43.5555555555556 ref
Halloween Spell: Squash Rockets | 34.8888888888889 ref
restriction Holy Mackerel | 42.2200000000001 ref
restriction Huntsman | 70.6666666666668 ref
restriction Invis Watch | 38.0000000000001 ref
restriction Australium Knife | 364.222222222223 ref
restriction Kritzkrieg | 336.444444444445 ref
restriction Loose Cannon | 52.888888888889 ref
Vintage Lugermorph | 107.553333333334 ref
restriction Machina | 224 ref
Mann Co. Supply Crate Key | 18.6666666666667 ref
restriction Mann of the Seven Sees | 37.3333333333334 ref
Max's Severed Head | 445.111111111112 ref
restriction Australium Medi Gun | 466.666666666667 ref
Genuine Merc's Pride Scarf | 46.6666666666667 ref
restriction Australium Minigun | 392.000000000001 ref
restriction Original | 84.0000000000001 ref
Genuine Point and Shoot | 32 ref
restriction Pyromancer's Hood | 28.6655555555556 ref
restriction Righteous Bison | 55.7777777777779 ref
Non-Craftable restriction Righteous Bison | 96.6666666666668 ref
restriction Australium Rocket Launcher | 896.000000000001 ref
restriction Australium SMG | 166.777777777778 ref
restriction Sangu Sleeves | 43.5555555555556 ref
restriction Australium Scattergun | 634.666666666668 ref
Genuine Sharp Dresser | 56.0000000000001 ref
Genuine Shred Alert | 31.6666666666667 ref
restriction Sight for Sore Eyes | 56.0000000000001 ref
restriction Snack Attack | 56.0000000000001 ref
restriction Australium Sniper Rifle | 619.333333333334 ref
restriction Snow Sleeves | 37.3333333333334 ref
restriction Sole Mate | 37.3333333333334 ref
Spine-Chilling Skull | 41.6666666666667 ref
Non-Craftable Spine-Chilling Skull | 37.3333333333334 ref
restriction Australium Stickybomb Launcher | 292.888888888889 ref
Strange Part: Airborne Enemies Killed | 37.3333333333334 ref
Strange Part: Allied Healing Done | 37.3333333333334 ref
Strange Part: Critical Kills | 62.3333333333334 ref
Strange Part: Damage Dealt | 109.111111111111 ref
Strange Part: Domination Kills | 60.6666666666668 ref
Strange Part: Kills with a Taunt Attack | 37.3333333333334 ref
Strange Part: Projectiles Reflected | 54.4444444444445 ref
Summer Adventure Pack | 33.5555555555556 ref
Taunt: Pool Party | 57.0000000000001 ref
Taunt: The Boston Breakdance | 36.4422222222223 ref
Taunt: The Killer Solo | 32.3333333333334 ref
restriction Texas Ten Gallon | 37.3333333333334 ref
restriction Thermal Tracker | 37.1088888888889 ref
restriction Australium Tomislav | 161.333333333334 ref
Towering Pillar Of Summer Shades | 298.666666666667 ref
restriction Trencher's Tunic | 37.3333333333334 ref
restriction Ullapool Caber | 71.0000000000001 ref
Upgrade to Premium Gift | 41.2200000000001 ref
Non-Craftable Voodoo Juju | 56.0000000000001 ref
What's in the Portal 2 Soundtrack Box? | 49.7777777777779 ref
restriction Australium Wrench | 438.88888888889 ref
A Distinctive Lack of Hue | 41.5133333333334 ref
Non-Craftable A Random Duck Token Gift | 62.2222222222223 ref
restriction AWPer Hand | 236.666666666667 ref
restriction All-Father | 93.3333333333335 ref
restriction Australium Ambassador | 282.666666666667 ref
An Extraordinary Abundance of Tinge | 40.3333333333334 ref
restriction Antarctic Researcher | 56.8866666666668 ref
Genuine Archimedes | 43.3333333333334 ref
restriction Australium Axtinguisher | 148.888888888889 ref
Genuine Balloonicorn | 37.3333333333334 ref
Bill's Hat | 40.2222222222223 ref
restriction Australium Black Box | 338.333333333334 ref
restriction Blood Botkiller Knife Mk.I | 33.7777777777778 ref
restriction Blood Botkiller Medi Gun Mk.I | 35.8888888888889 ref
restriction Blood Botkiller Minigun Mk.I | 28.5555555555556 ref
restriction Blood Botkiller Rocket Launcher Mk.I | 56.0000000000001 ref
restriction Blood Botkiller Scattergun Mk.I | 58.1111111111112 ref
restriction Blood Botkiller Sniper Rifle Mk.I | 56.0000000000001 ref
restriction Blood Botkiller Wrench Mk.I | 35.7777777777778 ref
restriction Australium Blutsauger | 186.666666666667 ref
restriction Bonk Boy | 74.6666666666668 ref
Genuine Buck Turner All-Stars | 37.1111111111112 ref
restriction Cold Snap Coat | 91.888888888889 ref
restriction Construction PDA | 148.111111111111 ref
restriction Diamond Botkiller Rocket Launcher Mk.I | 43.6666666666667 ref
restriction Diamond Botkiller Scattergun Mk.I | 37.3333333333334 ref
restriction Diamond Botkiller Wrench Mk.I | 32.6666666666667 ref
restriction Disciplinary Action | 31.2222222222223 ref
Dr. Grordbort's Silver Crest | 31.8133333333334 ref
Earbuds | 56.0000000000001 ref
Genuine El Jefe | 36.5555555555556 ref
restriction Australium Eyelander | 653.333333333335 ref
restriction Festive Ambassador | 73.6666666666667 ref
restriction Festive Bat | 186.666666666667 ref
restriction Festive Black Box | 43.0000000000001 ref
restriction Festive Buff Banner | 37.3333333333334 ref
restriction Festive Eyelander | 40.6666666666667 ref
restriction Festive Flame Thrower | 108 ref
restriction Festive Grenade Launcher | 74.6666666666668 ref
restriction Festive Holy Mackerel | 38.0000000000001 ref
restriction Festive Huntsman | 110.11 ref
restriction Festive Knife | 186.666666666667 ref
restriction Festive Medi Gun | 450.000000000001 ref
restriction Festive Minigun | 185.444444444445 ref
restriction Festive Rocket Launcher | 342.222222222223 ref
restriction Festive Sandvich | 74.4422222222223 ref
restriction Festive Scattergun | 373.333333333334 ref
restriction Festive Shotgun | 55.7777777777779 ref
restriction Festive Stickybomb Launcher | 146.444444444445 ref
restriction Festive Ubersaw | 61.3333333333334 ref
restriction Festive Wrench | 233.222222222223 ref
Fireproof Secret Diary | 280.000000000001 ref
restriction Australium Flame Thrower | 278.777777777778 ref
restriction Australium Force-A-Nature | 255.333333333334 ref
restriction Australium Frontier Justice | 205.333333333334 ref
restriction Frying Pan | 129.777777777778 ref
restriction Gold Botkiller Knife Mk.I | 36.7777777777778 ref
restriction Gold Botkiller Knife Mk.II | 32.2222222222222 ref
restriction Gold Botkiller Medi Gun Mk.II | 37.3333333333334 ref
restriction Gold Botkiller Minigun Mk.I | 40.3333333333334 ref
restriction Gold Botkiller Rocket Launcher Mk.I | 74.6666666666668 ref
restriction Gold Botkiller Rocket Launcher Mk.II | 45.5166666666667 ref
restriction Gold Botkiller Scattergun Mk.I | 74.9611111111112 ref
restriction Gold Botkiller Scattergun Mk.II | 42.0000000000001 ref
restriction Gold Botkiller Sniper Rifle Mk.I | 71.0000000000001 ref
restriction Gold Botkiller Sniper Rifle Mk.II | 52.6666666666667 ref
restriction Gold Botkiller Stickybomb Launcher Mk.I | 40.9233333333334 ref
restriction Gold Botkiller Wrench Mk.I | 81.3333333333335 ref
restriction Gold Botkiller Wrench Mk.II | 56.0000000000001 ref
restriction Gone Commando | 34.6666666666667 ref
restriction Australium Grenade Launcher | 320.666666666667 ref
restriction Ground Control | 37.3333333333334 ref
restriction Gunslinger | 336.000000000001 ref
Halloween Spell: Bruised Purple Footprints | 93.3333333333335 ref
Halloween Spell: Headless Horseshoes | 224 ref
Halloween Spell: Soldier's Booming Bark | 34.1111111111112 ref
Halloween Spell: Spectral Flame | 43.5555555555556 ref
Halloween Spell: Squash Rockets | 34.8888888888889 ref
restriction Holy Mackerel | 42.2200000000001 ref
restriction Huntsman | 70.6666666666668 ref
restriction Invis Watch | 38.0000000000001 ref
restriction Australium Knife | 364.222222222223 ref
restriction Kritzkrieg | 336.444444444445 ref
restriction Loose Cannon | 52.888888888889 ref
Vintage Lugermorph | 107.553333333334 ref
Mann Co. Supply Crate Key | 18.6666666666667 ref
restriction Mann of the Seven Sees | 37.3333333333334 ref
Max's Severed Head | 445.111111111112 ref
restriction Australium Medi Gun | 466.666666666667 ref
Genuine Merc's Pride Scarf | 46.6666666666667 ref
restriction Australium Minigun | 392.000000000001 ref
restriction Original | 84.0000000000001 ref
Genuine Point and Shoot | 32 ref
restriction Pyromancer's Hood | 28.6655555555556 ref
restriction Righteous Bison | 55.7777777777779 ref
Non-Craftable restriction Righteous Bison | 96.6666666666668 ref
restriction Australium Rocket Launcher | 896.000000000001 ref
restriction Australium SMG | 166.777777777778 ref
restriction Sangu Sleeves | 43.5555555555556 ref
restriction Australium Scattergun | 634.666666666668 ref
Genuine Sharp Dresser | 56.0000000000001 ref
Genuine Shred Alert | 31.6666666666667 ref
restriction Sight for Sore Eyes | 56.0000000000001 ref
restriction Snack Attack | 56.0000000000001 ref
restriction Australium Sniper Rifle | 619.333333333334 ref
restriction Snow Sleeves | 37.3333333333334 ref
restriction Sole Mate | 37.3333333333334 ref
Spine-Chilling Skull | 41.6666666666667 ref
Non-Craftable Spine-Chilling Skull | 37.3333333333334 ref
Strange Part: Airborne Enemies Killed | 37.3333333333334 ref
Strange Part: Allied Healing Done | 37.3333333333334 ref
Strange Part: Critical Kills | 62.3333333333334 ref
Strange Part: Damage Dealt | 109.111111111111 ref
Strange Part: Domination Kills | 60.6666666666668 ref
Strange Part: Kills with a Taunt Attack | 37.3333333333334 ref
Strange Part: Projectiles Reflected | 54.4444444444445 ref
Summer Adventure Pack | 33.5555555555556 ref
Taunt: Pool Party | 57.3333333333334 ref
Taunt: The Boston Breakdance | 36.4422222222223 ref
Taunt: The Killer Solo | 32.3333333333334 ref
restriction Texas Ten Gallon | 37.3333333333334 ref
restriction Thermal Tracker | 37.1088888888889 ref
restriction Australium Tomislav | 161.333333333334 ref
Towering Pillar Of Summer Shades | 298.666666666667 ref
restriction Trencher's Tunic | 37.3333333333334 ref
restriction Ullapool Caber | 71.0000000000001 ref
Upgrade to Premium Gift | 41.2200000000001 ref
Non-Craftable Voodoo Juju | 56.0000000000001 ref
What's in the Portal 2 Soundtrack Box? | 49.7777777777779 ref
restriction Australium Wrench | 438.88888888889 ref
A Distinctive Lack of Hue | 41.5133333333334 ref
Non-Craftable A Random Duck Token Gift | 62.2222222222223 ref
restriction AWPer Hand | 236.666666666667 ref
restriction All-Father | 93.3333333333335 ref
restriction Australium Ambassador | 282.666666666667 ref
An Extraordinary Abundance of Tinge | 40.3333333333334 ref
restriction Antarctic Researcher | 56.8866666666668 ref
Genuine Archimedes | 43.3333333333334 ref
restriction Australium Axtinguisher | 148.888888888889 ref
Genuine Balloonicorn | 37.3333333333334 ref
Bill's Hat | 40.8888888888889 ref
restriction Australium Black Box | 338.333333333334 ref
restriction Blood Botkiller Knife Mk.I | 33.7777777777778 ref
restriction Blood Botkiller Medi Gun Mk.I | 35.8888888888889 ref
restriction Blood Botkiller Minigun Mk.I | 28.5555555555556 ref
restriction Blood Botkiller Rocket Launcher Mk.I | 56.0000000000001 ref
restriction Blood Botkiller Scattergun Mk.I | 58.1111111111112 ref
restriction Blood Botkiller Sniper Rifle Mk.I | 56.0000000000001 ref
restriction Blood Botkiller Wrench Mk.I | 35.7777777777778 ref
restriction Australium Blutsauger | 186.666666666667 ref
restriction Bonk Boy | 74.6666666666668 ref
Genuine Buck Turner All-Stars | 37.1111111111112 ref
restriction Cold Snap Coat | 91.888888888889 ref
restriction Construction PDA | 148.111111111111 ref
restriction Diamond Botkiller Rocket Launcher Mk.I | 43.6666666666667 ref
restriction Diamond Botkiller Scattergun Mk.I | 37.3333333333334 ref
restriction Diamond Botkiller Wrench Mk.I | 32.6666666666667 ref
restriction Disciplinary Action | 31.2222222222223 ref
Dr. Grordbort's Silver Crest | 31.8133333333334 ref
Earbuds | 56.0000000000001 ref
Genuine El Jefe | 36.5555555555556 ref
restriction Australium Eyelander | 653.333333333335 ref
restriction Festive Ambassador | 73.888888888889 ref
restriction Festive Bat | 186.666666666667 ref
restriction Festive Black Box | 43.0000000000001 ref
restriction Festive Buff Banner | 37.3333333333334 ref
restriction Festive Eyelander | 40.6666666666667 ref
restriction Festive Flame Thrower | 108 ref
restriction Festive Grenade Launcher | 74.6666666666668 ref
restriction Festive Holy Mackerel | 38.3333333333334 ref
restriction Festive Huntsman | 110.11 ref
restriction Festive Knife | 186.666666666667 ref
restriction Festive Medi Gun | 450.000000000001 ref
restriction Festive Minigun | 185.444444444445 ref
restriction Festive Rocket Launcher | 342.222222222223 ref
restriction Festive Sandvich | 71.6666666666668 ref
restriction Festive Scattergun | 373.333333333334 ref
restriction Festive Shotgun | 55.7777777777779 ref
restriction Festive Stickybomb Launcher | 146.444444444445 ref
restriction Festive Ubersaw | 61.3333333333334 ref
restriction Festive Wrench | 233.222222222223 ref
Fireproof Secret Diary | 280.000000000001 ref
restriction Australium Flame Thrower | 278.777777777778 ref
restriction Australium Force-A-Nature | 252.333333333334 ref
restriction Australium Frontier Justice | 205.333333333334 ref
restriction Frying Pan | 129.777777777778 ref
restriction Gold Botkiller Knife Mk.I | 36.7777777777778 ref
restriction Gold Botkiller Knife Mk.II | 32.2222222222222 ref
restriction Gold Botkiller Medi Gun Mk.II | 37.3333333333334 ref
restriction Gold Botkiller Minigun Mk.I | 40.3333333333334 ref
restriction Gold Botkiller Rocket Launcher Mk.I | 74.6666666666668 ref
restriction Gold Botkiller Rocket Launcher Mk.II | 46.8500000000001 ref
restriction Gold Botkiller Scattergun Mk.I | 74.9611111111112 ref
restriction Gold Botkiller Scattergun Mk.II | 45.3333333333334 ref
restriction Gold Botkiller Sniper Rifle Mk.I | 71.0000000000001 ref
restriction Gold Botkiller Sniper Rifle Mk.II | 52.6666666666667 ref
restriction Gold Botkiller Stickybomb Launcher Mk.I | 40.9233333333334 ref
restriction Gold Botkiller Wrench Mk.I | 81.3333333333335 ref
restriction Gold Botkiller Wrench Mk.II | 56.0000000000001 ref
restriction Gone Commando | 34.6666666666667 ref
restriction Australium Grenade Launcher | 320.666666666667 ref
restriction Ground Control | 37.3333333333334 ref
restriction Gunslinger | 336.000000000001 ref
Halloween Spell: Bruised Purple Footprints | 93.3333333333335 ref
Halloween Spell: Headless Horseshoes | 224 ref
Halloween Spell: Soldier's Booming Bark | 34.1111111111112 ref
Halloween Spell: Spectral Flame | 43.5555555555556 ref
Halloween Spell: Squash Rockets | 34.8888888888889 ref
restriction Holy Mackerel | 42.2200000000001 ref
restriction Huntsman | 70.6666666666668 ref
restriction Invis Watch | 38.0000000000001 ref
restriction Australium Knife | 364.222222222223 ref
restriction Kritzkrieg | 336.444444444445 ref
restriction Loose Cannon | 52.888888888889 ref
Vintage Lugermorph | 107.553333333334 ref
Mann Co. Supply Crate Key | 18.6666666666667 ref
restriction Mann of the Seven Sees | 37.3333333333334 ref
Max's Severed Head | 445.111111111112 ref
restriction Australium Medi Gun | 466.666666666667 ref
Genuine Merc's Pride Scarf | 46.6666666666667 ref
restriction Australium Minigun | 392.000000000001 ref
restriction Original | 84.0000000000001 ref
Genuine Point and Shoot | 32 ref
restriction Pyromancer's Hood | 28.6655555555556 ref
restriction Righteous Bison | 55.7777777777779 ref
Non-Craftable restriction Righteous Bison | 96.6666666666668 ref
restriction Australium Rocket Launcher | 896.000000000001 ref
restriction Australium SMG | 166.777777777778 ref
restriction Sangu Sleeves | 43.5555555555556 ref
restriction Australium Scattergun | 634.666666666668 ref
Genuine Sharp Dresser | 56.0000000000001 ref
Genuine Shred Alert | 31.6666666666667 ref
restriction Sight for Sore Eyes | 56.0000000000001 ref
restriction Snack Attack | 56.0000000000001 ref
restriction Australium Sniper Rifle | 619.333333333334 ref
restriction Snow Sleeves | 37.3333333333334 ref
restriction Sole Mate | 37.3333333333334 ref
Spine-Chilling Skull | 41.6666666666667 ref
Non-Craftable Spine-Chilling Skull | 37.3333333333334 ref
restriction Australium Stickybomb Launcher | 292.888888888889 ref
Strange Part: Airborne Enemies Killed | 37.3333333333334 ref
Strange Part: Allied Healing Done | 37.3333333333334 ref
Strange Part: Critical Kills | 62.3333333333334 ref
Strange Part: Damage Dealt | 109.111111111111 ref
Strange Part: Domination Kills | 60.6666666666668 ref
Strange Part: Kills with a Taunt Attack | 37.3333333333334 ref
Strange Part: Projectiles Reflected | 54.4444444444445 ref
Summer Adventure Pack | 33.5555555555556 ref
Taunt: Pool Party | 57.3333333333334 ref
Taunt: The Boston Breakdance | 36.4422222222223 ref
Taunt: The Killer Solo | 32.3333333333334 ref
restriction Texas Ten Gallon | 37.3333333333334 ref
restriction Thermal Tracker | 37.1088888888889 ref
restriction Australium Tomislav | 161.333333333334 ref
Towering Pillar Of Summer Shades | 298.666666666667 ref
restriction Trencher's Tunic | 37.3333333333334 ref
restriction Ullapool Caber | 71.0000000000001 ref
Upgrade to Premium Gift | 41.2200000000001 ref
Non-Craftable Voodoo Juju | 56.0000000000001 ref
What's in the Portal 2 Soundtrack Box? | 49.7777777777779 ref
restriction Australium Wrench | 438.88888888889 ref
A Distinctive Lack of Hue | 41.5133333333334 ref
Non-Craftable A Random Duck Token Gift | 62.2222222222223 ref
restriction AWPer Hand | 236.666666666667 ref
restriction All-Father | 93.3333333333335 ref
restriction Australium Ambassador | 282.666666666667 ref
An Extraordinary Abundance of Tinge | 40.3333333333334 ref
restriction Antarctic Researcher | 56.8866666666668 ref
Genuine Archimedes | 43.3333333333334 ref
restriction Australium Axtinguisher | 148.888888888889 ref
Genuine Balloonicorn | 37.3333333333334 ref
Bill's Hat | 40.8888888888889 ref
restriction Australium Black Box | 338.333333333334 ref
restriction Blood Botkiller Knife Mk.I | 33.7777777777778 ref
restriction Blood Botkiller Medi Gun Mk.I | 35.8888888888889 ref
restriction Blood Botkiller Minigun Mk.I | 28.5555555555556 ref
restriction Blood Botkiller Rocket Launcher Mk.I | 56.0000000000001 ref
restriction Blood Botkiller Scattergun Mk.I | 58.1111111111112 ref
restriction Blood Botkiller Sniper Rifle Mk.I | 56.0000000000001 ref
restriction Blood Botkiller Wrench Mk.I | 35.7777777777778 ref
restriction Australium Blutsauger | 186.666666666667 ref
restriction Bonk Boy | 74.6666666666668 ref
Genuine Buck Turner All-Stars | 37.1111111111112 ref
restriction Cold Snap Coat | 91.888888888889 ref
restriction Construction PDA | 148.111111111111 ref
restriction Diamond Botkiller Rocket Launcher Mk.I | 43.6666666666667 ref
restriction Diamond Botkiller Scattergun Mk.I | 37.3333333333334 ref
restriction Diamond Botkiller Wrench Mk.I | 32.6666666666667 ref
restriction Disciplinary Action | 31.2222222222223 ref
Dr. Grordbort's Silver Crest | 31.8133333333334 ref
Earbuds | 56.0000000000001 ref
Genuine El Jefe | 36.5555555555556 ref
restriction Australium Eyelander | 653.333333333335 ref
restriction Festive Ambassador | 73.888888888889 ref
restriction Festive Bat | 186.666666666667 ref
restriction Festive Black Box | 43.0000000000001 ref
restriction Festive Buff Banner | 37.3333333333334 ref
restriction Festive Eyelander | 40.6666666666667 ref
restriction Festive Flame Thrower | 108 ref
restriction Festive Grenade Launcher | 74.6666666666668 ref
restriction Festive Holy Mackerel | 38.3333333333334 ref
restriction Festive Huntsman | 110.11 ref
restriction Festive Knife | 186.666666666667 ref
restriction Festive Medi Gun | 450.000000000001 ref
restriction Festive Minigun | 185.444444444445 ref
restriction Festive Rocket Launcher | 342.222222222223 ref
restriction Festive Sandvich | 71.6666666666668 ref
restriction Festive Scattergun | 373.333333333334 ref
restriction Festive Shotgun | 55.7777777777779 ref
restriction Festive Stickybomb Launcher | 146.444444444445 ref
restriction Festive Ubersaw | 61.3333333333334 ref
restriction Festive Wrench | 233.222222222223 ref
Fireproof Secret Diary | 280.000000000001 ref
restriction Australium Flame Thrower | 278.777777777778 ref
restriction Australium Force-A-Nature | 252.333333333334 ref
restriction Australium Frontier Justice | 205.333333333334 ref
restriction Frying Pan | 126.555555555556 ref
restriction Gold Botkiller Knife Mk.I | 36.7777777777778 ref
restriction Gold Botkiller Knife Mk.II | 32.2222222222222 ref
restriction Gold Botkiller Medi Gun Mk.II | 37.3333333333334 ref
restriction Gold Botkiller Minigun Mk.I | 40.3333333333334 ref
restriction Gold Botkiller Rocket Launcher Mk.I | 74.6666666666668 ref
restriction Gold Botkiller Rocket Launcher Mk.II | 46.8500000000001 ref
restriction Gold Botkiller Scattergun Mk.I | 74.9611111111112 ref
restriction Gold Botkiller Scattergun Mk.II | 45.3333333333334 ref
restriction Gold Botkiller Sniper Rifle Mk.I | 71.0000000000001 ref
restriction Gold Botkiller Sniper Rifle Mk.II | 52.6666666666667 ref
restriction Gold Botkiller Stickybomb Launcher Mk.I | 40.9233333333334 ref
